Title,Rating,Description,Genre,Directors,Stars,Release Year
The Last Thing He Told Me,6.5,A woman forms an unexpected relationship with her 16-year-old stepdaughter while searching for the truth about why her husband has mysteriously disappeared.,"Drama, Mystery, Thriller",[],[],2023
 Black Mirror,6.8,"Northern England, 1979. A meek sales assistant is told she must commit terrible acts to prevent disaster.","Drama, Mystery, Sci-Fi",[],[],2011
Inside,5.5,"Nemo, a high-end art thief, is trapped in a New York penthouse after his heist doesn't go as planned. Locked inside with nothing but priceless works of art, he must use all his cunning and ingenuity to survive.","Drama, Thriller",[],[],2023
The Strays,4.8,A woman's meticulously-crafted life of privilege unravels when two strangers show up in her quaint suburban town.,"Drama, Thriller",[],[],2023
AKA,6.6,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss's young son.,"Action, Crime, Thriller",[],[],2023
 Queen Cleopatra,1.1,Add a Plot,Documentary,[],[],2023
The Boogeyman,6.1,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late.","Horror, Mystery, Thriller",[],[],2023
Nefarious,6.3,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.","Horror, Thriller",[],[],2023
 Ted Lasso,9.5,Season finale. AFC Richmond play their final match of the season.,"Comedy, Drama, Sport",[],[],2020
Jung_E,5.5,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.","Action, Adventure, Drama",[],[],2023
Mayfair Witches,6.2,Follows a neurosurgeon who discovers she is the unlikely heir to a family of witches. She must contend with a sinister presence that has haunted her family for generations.,"Drama, Fantasy, Horror",[],[],2023
Mrs Undercover,6.2,"A simple Indian housewife who is in fact a special undercover agent is called back on the job after 10 years of being undercover to take down a terrifying, psycho killer while maintaining her parallel life of a housewife.","Action, Comedy",[],[],2023
The Night Manager,7.6,"Follows Shaan Sengupta, an ex-soldier, who must infiltrate an arms dealer's inner circle to bring down his empire of war.","Action, Crime, Mystery",[],[],2023
Kill Boksoon,6.6,A single mother who is a renowned hired killer finds it difficult to achieve a balance between her personal and work life.,"Action, Thriller",[],[],2023
 Ted Lasso,9.0,"A friendly match takes the team to Amsterdam, where one night out unlocks truths for many.","Comedy, Drama, Sport",[],[],2020
 Succession,9.4,"On election night, Tom tries to manage an increasingly chaotic newsroom, while Kendall, Shiv, and Roman spar over the consequences of the result for themselves, the company, and the country.","Comedy, Drama",[],[],2018
Dasara,6.7,Set in the backdrop of Singareni coal mines near Godavarikhani of Telangana.,"Action, Adventure, Drama",[],[],2023
Pathu Thala,7.4,"An undercover cop goes to find and kill a crime lord. However, when he realizes that the crime lord's business intentions are good and he has his own challenges, he needs to decide his next step and help the crime lord change his life.","Action, Crime, Drama",[],[],2023
